acer	genusacer,dicotgenus,magnoliopsidgenus
adobe	brick,adobebrick,clay
amazon	woman,virago,parrot,adultfemale,amazonriver,mythicalbeing,river
android	golem,automaton,humanoid,mechanicalman,robot
anonymous	unidentified,onymous,faceless,anon.,unknown,nameless,unnamed
apple	falsefruit,appletree,maluspumila,ediblefruit,pome,orchardappletree
arcade	construction,structure,colonnade,passageway
architecture	building,discipline,finearts,computerarchitecture,beauxarts,profession,study,edifice,fieldofstudy,subjectarea,field,branchofknowledge,bailiwick,subjectfield,structure,subject
augmented	increased
auto	car,automobile,machine,motorvehicle,motorcar,automotivevehicle
automobile	auto,car,travel,move,machine,go,locomote,motorvehicle,motorcar,automotivevehicle
battlefield	fieldofhonor,parcel,pieceofground,field,tract,fieldofbattle,pieceofland,battleground,parcelofland
biometrics	statistics,lifescience,bioscience,biostatistics,biometry
blackberry	blackberrybush,bramblebush,berry,drupelet
blizzard	series,rash,violentstorm,snowstorm,storm
blog	communicate,weblog,diary,journal,intercommunicate
broadband	wideband,band,system
browser	looker,viewer,watcher,application,webbrowser,spectator,applicationsprogramme,witness,applicationprogram
casual	occasional,fooling,unplanned,irregular,accidental,nonchalant,light,unconcerned,perfunctory,informal,chance,careless,insouciant,easy,effortless,passing,freeandeasy,cursory,everyday
chrome	plate,atomicnumber24,process,chromiumplate,cr,chromium,treat
computing	appliedscience,calculation,computerscience,engineeringscience,process,engineering,computation,technology,procedure
console	solace,housing,comfort,consoletable,cabinet,soothe,bracket,table,scientificinstrument
cybercrime	lawbreaking,crime
cyberwar	cyberterrorism,terrorism,actofterrorism,terroristact
data	assemblage,information,aggregation,collection,accumulation
dell	dingle,holler,hollow
doodle	scrabble,draw,scribble,drawing
drone	heavierthanaircraft,bourdon,dawdler,droneon,laggard,idler,go,utter,speak,layabout,poke,dronepipe,pilotlessaircraft,verbalize,pitchcontour,lagger,sound,modulation,monotone,loafer,mouth,bum,intonation,taborpipe,droning,radiocontrolledaircraft,bee,pipe,donothing,verbalise,talk,trailer
email	electronicmail,snailmail,telecommunicate,electroniccommunication,netmail
encryption	secretwriting,steganography,coding,cryptography,encoding
